Designator,Mid X,Mid Y,Rotation,Layer
_35,271.27542,-84.071422,20.0,top
_34,161.234722,-68.49558,20.0,top
_33,265.837301,-69.130305,20.0,top
_32,265.572241,-68.402048,20.0,top
_31,253.772544,-35.982653,20.0,top
_30,136.62834,-69.972058,340.0,top
_29,45.145635,-34.493517,340.0,top
_28,40.211988,-48.048575,340.0,top
_27,253.225311,-34.479142,20.0,top
_26,161.49979,-69.223835,20.0,top
_25,161.764858,-69.952108,20.0,top
_24,32.268572,-69.872935,340.0,top
_23,271.54049,-84.799685,20.0,top
_22,40.477055,-47.320318,340.0,top
_21,258.158953,-48.034198,20.0,top
_20,257.628822,-46.577693,20.0,top
_19,257.893884,-47.305947,20.0,top
_18,160.969659,-67.767322,20.0,top
_17,27.09552,-84.085792,340.0,top
_16,27.668398,-82.511802,340.0,top
_15,32.798698,-68.416419,340.0,top
_14,31.789741,-71.188507,340.0,top
_13,32.533639,-69.144679,340.0,top
_12,26.83045,-84.814055,340.0,top
_11,44.598402,-35.997025,340.0,top
_10,39.733164,-49.364142,340.0,top
_9,137.423529,-67.787268,340.0,top
_8,252.96025,-33.750888,20.0,top
_7,136.8934,-69.243801,340.0,top
_6,137.158459,-68.515531,340.0,top
_5,270.702542,-82.497433,20.0,top
_4,40.742127,-46.592052,340.0,top
_3,45.410701,-33.765256,340.0,top
_2,266.581203,-71.174141,20.0,top
,266.10237,-69.858568,20.0,top
D1,273.205479,-40.723845,70.0,bottom
D10,216.993202,-55.862552,70.0,bottom
D11,223.491597,-73.716709,70.0,bottom
D12,229.989974,-91.570878,70.0,bottom
D13,235.721395,-116.089239,70.0,bottom
D14,200.165109,-65.180019,70.0,bottom
D15,206.663489,-83.034174,70.0,bottom
D16,213.161866,-100.888337,70.0,bottom
D17,216.32987,-124.211363,55.0,bottom
D18,182.994985,-73.557783,70.0,bottom
D19,189.493375,-91.411942,70.0,bottom
D2,279.703868,-58.578011,70.0,bottom
D20,195.991753,-109.266103,70.0,bottom
D21,198.666183,-136.569021,40.0,bottom
D22,128.991568,-77.656426,110.0,bottom
D23,122.493185,-95.510598,110.0,bottom
D24,115.8751,-113.693636,110.0,bottom
D25,106.774547,-150.904078,140.0,bottom
D26,112.043764,-68.667868,110.0,bottom
D27,105.323068,-87.132827,110.0,bottom
D28,98.824682,-104.986977,110.0,bottom
D29,97.107687,-133.094846,125.0,bottom
D3,286.202246,-76.432166,70.0,bottom
D30,94.993349,-59.961207,110.0,bottom
D31,88.375259,-78.144257,110.0,bottom
D32,81.996587,-95.669521,110.0,bottom
D33,74.555058,-124.88636,110.0,bottom
D34,76.113133,-56.2819,110.0,bottom
D35,69.837061,-73.525261,110.0,bottom
D36,63.116364,-91.990214,110.0,bottom
D37,57.352109,-51.597883,110.0,bottom
D38,51.076549,-69.517066,110.0,bottom
D39,44.578163,-87.371216,110.0,bottom
D4,254.411625,-47.564254,70.0,bottom
D40,38.942537,-44.912859,110.0,bottom
D41,32.282694,-62.676652,110.0,bottom
D42,25.784314,-80.530821,110.0,bottom
D5,260.910006,-65.41841,70.0,bottom
D6,267.408388,-83.272564,70.0,bottom
D7,235.531402,-51.243561,70.0,bottom
D8,242.02979,-69.097723,70.0,bottom
D9,248.528167,-86.951876,70.0,bottom
L1,86.034476,-133.62888,35.0,bottom
L2,136.732161,-141.478877,0.0,bottom
L3,160.771964,-141.478877,0.0,bottom
L4,212.639785,-133.681411,325.0,bottom
S1,265.794285,-38.450146,340.0,bottom
S10,209.572171,-53.459413,340.0,bottom
S11,216.070558,-71.313579,340.0,bottom
S12,222.568934,-89.167726,340.0,bottom
S13,227.834576,-118.161685,340.0,bottom
S14,192.744073,-62.776865,340.0,bottom
S15,199.242452,-80.631029,340.0,bottom
S16,205.740829,-98.485187,340.0,bottom
S17,208.806818,-128.041514,325.0,bottom
S18,175.72359,-71.565741,340.0,bottom
S19,182.221974,-89.419906,340.0,bottom
S2,272.335422,-56.421762,340.0,bottom
S20,188.720355,-107.27408,340.0,bottom
S21,193.002751,-142.4919,310.0,bottom
S22,125.042262,-71.296742,20.0,bottom
S23,118.531477,-89.1996,20.0,bottom
S24,112.0113,-107.099031,20.0,bottom
S25,105.761472,-142.514852,50.0,bottom
S26,107.971391,-62.470902,20.0,bottom
S27,101.470423,-80.361361,20.0,bottom
S28,94.954954,-98.262514,20.0,bottom
S29,89.940924,-128.035498,35.0,bottom
S3,278.876565,-74.393382,340.0,bottom
S30,90.940679,-53.56389,20.0,bottom
S31,84.425193,-71.465034,20.0,bottom
S32,77.913136,-89.356781,20.0,bottom
S33,70.948331,-118.153916,20.0,bottom
S34,72.182775,-49.402333,20.0,bottom
S35,65.649782,-67.307757,20.0,bottom
S36,59.119758,-85.219575,20.0,bottom
S37,53.406718,-45.228971,20.0,bottom
S38,46.908115,-63.130825,20.0,bottom
S39,40.395617,-81.038378,20.0,bottom
S4,247.209546,-45.214441,340.0,bottom
S40,34.794619,-38.470253,20.0,bottom
S41,28.326181,-56.367542,20.0,bottom
S42,21.796273,-74.26082,20.0,bottom
S5,253.750677,-63.186053,340.0,bottom
S6,260.291807,-81.157681,340.0,bottom
S7,228.340113,-49.288886,340.0,bottom
S8,234.881249,-67.260504,340.0,bottom
S9,241.422378,-85.232127,340.0,bottom
